JOBNAME,ISSUE_NO,UPDATE_TIME,REST_PTR,NODE_NUM,NODE_NAME,TYPE,STIFFNESS,GAP,FRIC_COEF,CNODE,XCOSINE,YCOSINE,ZCOSINE
21MARCH2023,,20240528 110018,95,723,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,96,724,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,97,725,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,97,725,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,98,726,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,99,727,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,100,728,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,101,729,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,102,730,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,102,730,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,103,735,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,104,745,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,105,747,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,106,750,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,107,755,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,107,755,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,108,760,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,109,765,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,110,780,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,111,785,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,112,790,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,112,790,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,113,795,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,113,795,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,114,800,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,115,805,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,116,810,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,117,815,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,117,815,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,118,817,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,119,818,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,120,840,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,121,860,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,122,880,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,122,880,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,123,900,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,124,920,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,125,930,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,126,931,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,127,932,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,127,932,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,128,933,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,129,934,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,130,935,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,131,936,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,132,937,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,132,937,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,133,938,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,134,939,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,212,940,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,212,940,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,135,941,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,136,942,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,137,943,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,137,943,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,138,944,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,139,945,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,140,946,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,141,947,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,142,948,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,142,948,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,143,949,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,144,951,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,145,952,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,146,953,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,147,954,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,147,954,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,148,955,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,149,956,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,150,957,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,151,958,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,152,959,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,152,959,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,153,961,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,154,962,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,155,963,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,156,964,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,157,965,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,157,965,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,158,966,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,159,967,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,160,968,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,161,969,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,213,970,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,162,971,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,162,971,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,163,972,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,164,973,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,165,974,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,166,975,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,167,976,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,167,976,,GUI,-1.01,-1.01,-1.01,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,168,977,,+Y,-1.01,-1.01,-1.01,-1.010100007,0.00,1.00,0.00
