nid,xx,xy,xz,vx,vy,vz,ns
937,0.9739121628640429,0.013367672882696401,0.2265312436446312,-0.013020102573140268,0.9999106486690205,-0.0030284661602340713,GUI_Y
940,0.9934052747773897,0.0071295706234701895,0.1144339515492843,-0.007082733076954551,0.9999745842883833,-0.0008158856756084319,GUI_Y
943,0.9739121669810187,0.013367672869943715,0.22653122594551625,-0.013020102615756245,0.9999106486691909,-0.0030284659207272945,GUI_Y
948,0.9739007688014701,0.014258900966630355,0.2265258843292068,-0.013888166530451614,0.999898336703899,-0.0032303385578938406,GUI_Y
954,0.9738674375843097,0.01337880656692081,0.22672278568290324,-0.01303035028871177,0.9999104997622762,-0.0030335517975720355,GUI_Y
959,0.9738671264502012,0.013378807547638507,0.22672412206960024,-0.013030347081081342,0.9999104997491541,-0.003033569900843566,GUI_Y
965,0.9737090794090787,0.014258839903674478,0.2273484421783573,-0.013885373496794522,0.9998983375746763,-0.0032420546345081672,GUI_Y
971,0.9739120478772197,0.013367672869943715,0.22653173800075402,-0.013020101023473351,0.9999106486691909,-0.0030284727663258673,GUI_Y
976,0.973912168533593,0.013367665238722704,0.22653121972094675,-0.013020095202380831,0.9999106487712117,-0.003028464108338576,GUI_Y
982,0.9739007772329926,0.014258365707323037,0.2265258817714418,-0.013887645202218288,0.9998983443367412,-0.0032302172343464663,GUI_Y
987,0.9738673149902406,0.013379350247599746,0.22672328019118676,-0.013030878263440699,0.9999104924876786,-0.0030336817122658213,GUI_Y
993,0.9736752837391652,0.013378799126602045,0.2275465876900512,-0.013027772023079686,0.9999104998618277,-0.0030445725783153675,GUI_Y
998,0.9739005372252727,0.014258900967676368,0.22652687994037066,-0.013888163229112842,0.9998983367038841,-0.003230352755895241,GUI_Y
1004,0.9739125966095613,0.013367558374664502,0.2265293856176761,-0.013019996821113227,0.9999106501998566,-0.0030284153741296,GUI_Y
1009,0.9739007674136816,0.014258900967676368,0.22652589029564804,-0.013888166511680285,0.9998983367038841,-0.0032303386432144063,GUI_Y
1015,0.9738675468625404,0.013379335374197256,0.22672228508217393,-0.01303086687740495,0.9999104926866929,-0.0030336650241245475,GUI_Y
1021,0.9738672439131487,0.01337881400920584,0.22672361713927128,-0.013030354947134844,0.9999104996626984,-0.003033564610256548,GUI_Y
1040,0.9725133259472986,0.05637229008619088,0.2259203305711146,-0.05491012040169807,0.998409818116007,-0.012755930661173878,GUI_Y
1102,0.970830778491689,0.08100436121857069,0.22566766050276746,-0.07890081510319263,0.9967137470024036,-0.018340335669787718,GUI_Y
1107,0.9707642682169448,0.08187981244733637,0.22563783341188282,-0.07975379263714452,0.9966422107825802,-0.018537428257510053,GUI_Y
1110,0.9710829973293373,0.07806803960133764,0.22561736079183778,-0.07604262544883157,0.996948033346174,-0.01766742545037999,GUI_Y
1113,0.9709528933802551,0.08187911453583878,0.22482501960266324,-0.079768604753211,0.9966422681197236,-0.018470492492053635,GUI_Y
